Ref,Val,Package,PosX,PosY,Rot,Side
"C3","100nF 16v X7R","C_0603_1608Metric",17.820640,-41.838880,270.000000,top
"C4","10uF 16v X7R","C_0805_2012Metric",15.895320,-42.034700,270.000000,top
"C6","100nF 10v X5R","C_0402_1005Metric",-12.669380,-35.747960,0.000000,top
"C8","100nF 10v X5R","C_0402_1005Metric",-16.601300,-35.506660,0.000000,top
"C9","10uF 10v X5R","C_0402_1005Metric",-1.745120,-35.968940,180.000000,top
"C14","100nF 10v X5R","C_0402_1005Metric",-1.745120,-34.897060,180.000000,top
"C16","100pF C0G","C_0402_1005Metric",10.193160,-45.679360,0.000000,top
"C19","100nF 16v X7R","C_0603_1608Metric",12.011660,-50.624640,90.000000,top
"C20","10uF 16v X7R","C_0805_2012Metric",13.782040,-50.810400,90.000000,top
"C29","100nF 10v X5R","C_0402_1005Metric",-8.732660,-14.343380,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",-17.090000,2.220000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",-12.948920,-58.592720,0.000000,top
"FID5","Fiducial","Fiducial_1mm_Mask2mm",12.040000,-57.390000,0.000000,top
"L2","3.3uH 2A","L_4030_Handsoldering",17.101820,-48.501380,270.000000,top
"R1","40.2k","R_0402_1005Metric",12.466460,-47.792640,0.000000,top
"R4","10K","R_0402_1005Metric",-12.225020,-37.353380,270.000000,top
"R5","10K","R_0402_1005Metric",-16.121380,-37.089220,90.000000,top
"R6","0R","R_0402_1005Metric",-10.218420,-37.132120,270.000000,top
"R7","40.2k","R_0402_1005Metric",10.182860,-44.625260,0.000000,top
"R8","8.87k","R_0402_1005Metric",10.655300,-43.113820,90.000000,top
"R9","22R","R_0402_1005Metric",-14.251940,-14.356220,270.000000,top
"R10","22R","R_0402_1005Metric",-16.240760,-14.391500,270.000000,top
"R11","10K","R_0402_1005Metric",-7.749400,-13.233400,180.000000,top
"R12","22.6K","R_0402_1005Metric",-5.278120,-5.260480,90.000000,top
"R13","22.6K","R_0402_1005Metric",-6.477000,-5.273040,90.000000,top
"U1","HX3406","TSOT-23-5",12.926020,-44.926880,90.000000,top
"U3","ESP-07S","ESP-07S",-11.320000,-24.710000,90.000000,top
